period,source_file,sha256,status,rows,columns,encoding,separator_mode,file_type,column_mapping,raw_columns,error
2025-11,Composicao_de_Mercado_11_2025.csv,5c6a48d234d2acf3b15ac99f454171049ad093760955e3f073ab752e80995d2b,READ_OK,61160,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-12,Composicao_de_Mercado_12_2025.csv,99502fb5403b8286577daea67864d24ed1bf8fd4ed63dda282403a98575e308a,READ_OK,59977,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-01,Composicao_de_Mercado_01_2026.csv,c4b85c05f47516e203d1140a0b772047391d24e3e5e560dbaccabe75e803b471,READ_OK,61199,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-02,Composicao_de_Mercado_02_2026.csv,1f1e8dafd6c5ab9b6f4921749f1b3dfda5db4632976cf6dd06cc0b2ccb181215,READ_OK,60904,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-03,Composicao_de_Mercado_03_2026.csv,1dd0d4e08d68f7412c2d5a3280aee7a7cbe904ffd250ff7568f11664b2639759,READ_OK,63631,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-04,Composicao_de_Mercado_04_2026.csv,eb4fa5fc9f4e1cba2effe306908803daa5db8a9edef2d8587cdfb4300948ebad,READ_OK,62919,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-05,Composicao_de_Mercado_05_2026.csv,0096ac1a61aa1473ce3cae249fdcd9f10082113e50e2d619a8cef31ee69a80f6,READ_OK,62888,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-06,Composicao_de_Mercado_06_2026.csv,186867bbc8802d4c20d0901238fb055dc0a2167ab966cea73da2052f3489bc96,READ_OK,63685,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-07,Composicao_de_Mercado_07_2026.csv,2bf10a0194e9081994c246e09695485d87e621de6d82d1c831e82053929c14c8,READ_OK,65127,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2026-08,Composicao_de_Mercado_08_2026.csv,43b32b517e024eff1a37f86e155a77f976ca5f51ad4c16308c5b8b6b48ee3c46,READ_OK,64948,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
