exercise,row_id,contract_number,grid_signature_date,grid_validity,detail_number,detail_status,detail_signature_date,detail_validity,detail_value_total_snapshot,process,contractor,object,timeline_json,url
2023,768,20,30/03/2023,30/03/2023 até 28/03/2024,20 - 2023 Grupo: CONTRATO,Homologado,30/03/2023,30/03/2023 até 28/03/2024,"1.075.538,21",5562/2023,FUNDACAO IVAN GOULART,Autorização de repasse de recurso federal à entidade filantrópica Ivan Goulart.,[],https://transparencia.saoborja.rs.gov.br/acordos/view/768
2023,898,146,28/09/2023,28/09/2023 até 31/12/2023,146 - 2023 Grupo: CONTRATO,Homologado,28/09/2023,28/09/2023 até 31/12/2023,"142.367,25",16471/2023,FUNDACAO IVAN GOULART,Contratação da Fundação Ivan Goulart para realização de mutirão de exames de tomografia e ressonância a serem realizados no período de 90 dias. A fim de atender a demanda de pacientes que aguardam por estes exames para tratamento de doenças e para realização de cirurgias. Melhores descritos no Termo de Referência e demais documentos que integram o processo de Inexigibilidade.,[],https://transparencia.saoborja.rs.gov.br/acordos/view/898
