cluster_id,cluster_key,descricao_normalizada,quantidade_total_m,valor_estimado_R$,participacao_condutores_pct,material,tensao,isolacao_norma,secao_condutores,cores,itens_origem,source_status
T01,FIO_PLASTICHUMBO_2X4,"Fio plastichumbo em cobre 2 x 4,0 mm 450/750V - norma ABNT",4200,26208.00,4.9153,cobre,450/750V,ABNT,"2x4,0mm",,items 7,SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T02,FIO_PLASTICHUMBO_2X2_5,"Fio plastichumbo em cobre 2 x 2,5 mm 450/750V - norma ABNT",4200,27468.00,5.1516,cobre,450/750V,ABNT,"2x2,5mm",,item 8,SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T03,CABO_FLEXIVEL_16_ATOX,"Cabo flexível 16,00 mm² 0,6/1kV - ATOX",6500,117520.00,22.0407,não explicitado no espelho,"0,6/1kV",ATOX,16mm²,"azul;verde;preto","items 18,25,41",SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T04,CABO_PP_2X2_5,"Cabo PP 2 x 2,5 mm 1kV",3600,19836.00,3.7202,não explicitado no espelho,1kV,,"2x2,5mm",,item 30,SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T05,CABO_PP_4X10,"Cabo PP 4 x 10,00 mm 1kV",2820,103353.00,19.3837,não explicitado no espelho,1kV,,4x10mm,,"items 35,36; mesma descrição/preço, quantidades 2115+705",SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T06,CABO_MULTIPLEX_4X16_AL,"Cabo multiplex 4 x 16,00 mm 1kV - alumínio",3820,45534.40,8.5399,alumínio,1kV,,4x16mm,,item 49,SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T07,CABO_FLEX_COBRE_6_PVC70,Cabo flexível de cobre 6mm com isolamento em PVC 70C sem alumínio,12000,50520.00,9.4750,cobre,,PVC 70C,6mm²,"azul;verde;preto","items 78,79,80",SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T08,CABO_FLEX_COBRE_10_PVC70,Cabo flexível de cobre 10mm com isolamento em PVC 70C sem alumínio,7500,68850.00,12.9127,cobre,,PVC 70C,10mm²,"azul;verde;vermelho","items 81,82,83",SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
T09,CABO_FLEX_COBRE_25_PVC70,Cabo flexível de cobre 25mm com isolamento em PVC 70C sem alumínio,3900,73905.00,13.8608,cobre,,PVC 70C,25mm²,"azul;verde;preto","items 84,85,86",SECONDARY_MIRROR_PENDING_OFFICIAL_TR_RECONCILIATION
