funcao_acao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_acao
ASSISTÊNCIA SOCIAL | BLOC PROT SOC ESPEC MÉDIA E ALTA COMPLEX,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,10,59513.18,0.07517820077519982
ASSISTÊNCIA SOCIAL | BLOC PROT SOC ESPEC MÉDIA E ALTA COMPLEX,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,38,81,202786.88,0.25616431148892316
"CULTURA | REALIZAÇÃO, FOMENTO E APOIO A EVENTOS E",LOCAL_EXACT_ACTIVE,5,19,704650.32,1.0
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,13,703369.29,1.0
TRANSPORTE | AQUISIÇÃO DE VEÍCULOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,3,675000.0,1.0
SAUDE | MANUTENÇÃO DO CER,LOCAL_EXACT_ACTIVE,5,17,68652.57,0.10318323467616866
SAUDE | MANUTENÇÃO DO CER,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,12,41,596693.6,0.8968167653238314
"URBANISMO | MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",LOCAL_EXACT_ACTIVE,19,126,287403.17,0.4542194801618116
"URBANISMO | MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,8,29,345337.57,0.5457805198381884
ASSISTÊNCIA SOCIAL | GESTÃO DE BENEFÍCIOS EVENTUAIS,LOCAL_EXACT_ACTIVE,2,7,92391.81,0.15252810253359253
ASSISTÊNCIA SOCIAL | GESTÃO DE BENEFÍCIOS EVENTUAIS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,4,513344.5,0.8474718974664075
EDUCAÇÃO | INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,LOCAL_EXACT_ACTIVE,2,12,178075.61,0.3553239902183727
EDUCAÇÃO | INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,18,323088.44,0.6446760097816273
ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,LOCAL_EXACT_ACTIVE,1,1,16122.0,0.03360701727528262
ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,8,232029.9,0.4836765201390708
ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,6,231569.34,0.4827164625856466
SAUDE | MANUTENÇÃO DO CAPS AD E AÇÕES PARA RECUP,LOCAL_EXACT_ACTIVE,8,18,407992.38,0.8762870303424561
SAUDE | MANUTENÇÃO DO CAPS AD E AÇÕES PARA RECUP,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,3,6727.72,0.01444981344939714
SAUDE | MANUTENÇÃO DO CAPS AD E AÇÕES PARA RECUP,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,10,22,50872.07,0.10926315620814672
ASSISTÊNCIA SOCIAL | BLOCO DE PROTEÇÃO SOCIAL BÁSICA,LOCAL_EXACT_ACTIVE,20,40,173189.69,0.391582283988986
ASSISTÊNCIA SOCIAL | BLOCO DE PROTEÇÃO SOCIAL BÁSICA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,4,17,150188.08,0.33957559133179654
ASSISTÊNCIA SOCIAL | BLOCO DE PROTEÇÃO SOCIAL BÁSICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,39,81,118903.96,0.2688421246792175
SAUDE | PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,LOCAL_EXACT_ACTIVE,1,2,905.33,0.002156758741783928
SAUDE | PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,22,25,418858.82,0.997843241258216
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL,LOCAL_EXACT_ACTIVE,4,5,85788.64,0.22676983258390254
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,7,182691.31,0.48291799221008563
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,17,17,109827.16,0.2903121752060119
EDUCAÇÃO | INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,LOCAL_EXACT_ACTIVE,2,13,148945.41,0.40399700563760665
EDUCAÇÃO | INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,14,219734.08,0.5960029943623933
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,LOCAL_EXACT_ACTIVE,38,83,157838.59,0.42959708093470106
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,LOCAL_EXACT_NONACTIVE_SNAPSHOT,2,2,369.0,0.0010043255129490493
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,18,79301.16,0.21583788128578488
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,14,24,129902.01,0.35356071226656505
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,LOCAL_EXACT_ACTIVE,8,10,33321.1,0.09934194987976501
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,13,14611.41,0.04356176596489004
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,35,50,287485.71,0.8570962841553449
EDUCAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,LOCAL_EXACT_ACTIVE,8,12,82218.87,0.25646767845211427
EDUCAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,8,149729.84,0.4670565827504868
EDUCAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,12,19,88633.09,0.27647573879739895
TRANSPORTE | VIAS URBANAS E RURAIS,LOCAL_EXACT_ACTIVE,2,6,105123.32,0.3578703979514337
TRANSPORTE | VIAS URBANAS E RURAIS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,11,188623.58,0.6421296020485662
EDUCAÇÃO | MANUT.DA.EDUC.INFANT-FUNDEB 30%,LOCAL_EXACT_ACTIVE,2,2,51063.0,0.18028339477766706
EDUCAÇÃO | MANUT.DA.EDUC.INFANT-FUNDEB 30%,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,8,8,226324.4,0.7990625531797707
EDUCAÇÃO | MANUT.DA.EDUC.INFANT-FUNDEB 30%,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,1,5850.0,0.020654052042562175
ADMINISTRAÇÃO | MANUTENÇÃO DO DEPARTAMENTO DE TRIBUTAÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,14,263905.29,1.0
URBANISMO | MANUTENÇÃO E AMPLIAÇÃO DOS CEMITÉRIOS MU,LOCAL_EXACT_ACTIVE,5,13,255541.39,0.9717664849548519
URBANISMO | MANUTENÇÃO E AMPLIAÇÃO DOS CEMITÉRIOS MU,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,1700.34,0.006466010946516855
URBANISMO | MANUTENÇÃO E AMPLIAÇÃO DOS CEMITÉRIOS MU,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,18,21,5724.11,0.02176750409863121
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,LOCAL_EXACT_ACTIVE,10,34,57176.55,0.21991095799578028
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,2367.36,0.009105278396840846
