funcao_acao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_acao
ASSISTÊNCIA SOCIAL | EXECUÇÃO DE EMENDAS PARL P/ ASSIST SOCIAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,3,12348.2,0.46308383789328017
ADMINISTRAÇÃO | REGULAÇÃO E MANUTENÇÃO DA AGESB,LOCAL_EXACT_ACTIVE,10,78,7335.03,0.32966352884600253
ADMINISTRAÇÃO | REGULAÇÃO E MANUTENÇÃO DA AGESB,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,17,3970.56,0.17845173381632853
ADMINISTRAÇÃO | REGULAÇÃO E MANUTENÇÃO DA AGESB,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,7,10944.46,0.49188473733766885
CULTURA | LEI ALDIR BLANC,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,22000.0,1.0
LEGISLATIVA | MANUTENÇÃO DAS INSTALAÇÕES DA CÂMARA MUN,LOCAL_EXACT_ACTIVE,13,37,20461.45,0.93598345174103
LEGISLATIVA | MANUTENÇÃO DAS INSTALAÇÕES DA CÂMARA MUN,LOCAL_EXACT_NONACTIVE_SNAPSHOT,1,1,120.0,0.005489249990050735
LEGISLATIVA | MANUTENÇÃO DAS INSTALAÇÕES DA CÂMARA MUN,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,216.78,0.009916330107026652
LEGISLATIVA | MANUTENÇÃO DAS INSTALAÇÕES DA CÂMARA MUN,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,5,1062.68,0.048610968161892615
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DAS ATIVIDADES DO CONSELHO TU,LOCAL_EXACT_ACTIVE,8,13,11525.4,0.5474833266830076
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DAS ATIVIDADES DO CONSELHO TU,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,4,8,7623.01,0.36211071842520276
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DAS ATIVIDADES DO CONSELHO TU,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,13,21,1903.19,0.0904059548917897
SAUDE | PROGRAMA SALVAR/SAMU,LOCAL_EXACT_ACTIVE,5,7,6899.24,0.34394015380305115
SAUDE | PROGRAMA SALVAR/SAMU,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,14,13160.18,0.6560598461969488
CULTURA | MANUTENÇÃO DO DEPARTAMENTO DE ASSUNTOS C,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,20000.0,1.0
ADMINISTRAÇÃO | AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PE,LOCAL_EXACT_ACTIVE,1,1,195.0,0.010247059225374873
ADMINISTRAÇÃO | AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,6,11,18834.85,0.9897529407746252
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA CONSULTORIA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,10,14772.25,0.9358676680678258
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA CONSULTORIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,1012.3,0.06413233193217417
TRANSPORTE | MANUT E CONSERV AEROPORTO SAO BORJA,LOCAL_EXACT_ACTIVE,3,4,13685.28,1.0
DESPORTO E LAZER | PROGRAMA DE INICIAÇÃO ESPORTIVA EDUCACIO,LOCAL_EXACT_ACTIVE,1,2,7024.0,0.5238292334597415
DESPORTO E LAZER | PROGRAMA DE INICIAÇÃO ESPORTIVA EDUCACIO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,8,6384.95,0.4761707665402585
ASSISTÊNCIA SOCIAL | GESTÃO ADM DO FUNDO DE ASSIST SOCIAL,LOCAL_EXACT_ACTIVE,6,7,4975.39,0.3966426334687526
ASSISTÊNCIA SOCIAL | GESTÃO ADM DO FUNDO DE ASSIST SOCIAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,7,7568.37,0.6033573665312474
"CULTURA | FOMENTO DE ATIVIDADES ARTÍSTICAS, CULTUR",LOCAL_EXACT_ACTIVE,1,2,11400.0,1.0
CULTURA | MANUTENÇÃO DA BIBLIOTECA PÚBLICA MUNICIP,LOCAL_EXACT_ACTIVE,1,2,4307.22,0.4072328114363512
CULTURA | MANUTENÇÃO DA BIBLIOTECA PÚBLICA MUNICIP,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,8,6269.58,0.5927671885636487
TRABALHO | APOIO À PARTICIPAÇÃO DO MUNICÍPIO EM FEI,LOCAL_EXACT_ACTIVE,1,2,10280.0,1.0
CULTURA | MANUTENÇÃO DA ESTAÇÃO FÉRREA - ESTAÇÃO D,LOCAL_EXACT_ACTIVE,1,3,5771.38,0.5755925340460862
CULTURA | MANUTENÇÃO DA ESTAÇÃO FÉRREA - ESTAÇÃO D,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,10,4255.47,0.42440746595391377
ASSISTÊNCIA SOCIAL | BLOCO DE GESTÃO DO PROG BOLSA FAMIL E CAD ÚNICO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,1768.32,0.21543019765311294
ASSISTÊNCIA SOCIAL | BLOCO DE GESTÃO DO PROG BOLSA FAMIL E CAD ÚNICO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,6440.0,0.7845698023468871
COMÉRCIO E SERVIÇOS | RECUPERAÇÃO E REVITALIZAÇÃO DE PONTOS TU,LOCAL_EXACT_ACTIVE,1,2,5771.38,0.7338838477345324
COMÉRCIO E SERVIÇOS | RECUPERAÇÃO E REVITALIZAÇÃO DE PONTOS TU,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,4,2092.78,0.2661161522654676
DESPORTO E LAZER | PROMOÇÃO AO DESPORTO E LAZER,LOCAL_EXACT_ACTIVE,1,1,1500.0,0.23820829250707876
DESPORTO E LAZER | PROMOÇÃO AO DESPORTO E LAZER,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,6,4797.01,0.7617917074929212
COMÉRCIO E SERVIÇOS | FOMENTO AO TURISMO MUNICIPAL,LOCAL_EXACT_ACTIVE,1,2,1291.27,0.29689350166809597
COMÉRCIO E SERVIÇOS | FOMENTO AO TURISMO MUNICIPAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,2,3058.0,0.7031064983319039
"EDUCAÇÃO | CONSTRUÇÃO, REFORMA E AMPLIAÇÃO DE QUADR",EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,4012.24,1.0
EDUCAÇÃO | MANUTENÇÃO DO CAM (CENTRO DE ATENDIMENTO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,4005.0,1.0
SAUDE | MANUTENÇÃO DO CONSELHO MUNICIPAL DA SAÚD,LOCAL_EXACT_ACTIVE,3,4,2811.15,0.7488990891677834
SAUDE | MANUTENÇÃO DO CONSELHO MUNICIPAL DA SAÚD,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,4,942.56,0.25110091083221664
EDUCAÇÃO | FESTIVAL DE BANDAS ESCOLARES,LOCAL_EXACT_ACTIVE,1,1,3698.0,1.0
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA CONTROLADOR,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,2498.0,1.0
GESTÃO AMBIENTAL | MANUTENÇÃO DO FUNDO MUNICIPAL DO MEIO AM,LOCAL_EXACT_ACTIVE,1,1,134.99,0.06010267187298252
GESTÃO AMBIENTAL | MANUTENÇÃO DO FUNDO MUNICIPAL DO MEIO AM,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,2111.0,0.9398973281270175
DESPORTO E LAZER | MANUTENÇÃO E IMPLANTAÇÃO DE UNIDADES ESP,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,12,12,1958.23,1.0
URBANISMO | GEOPROCESSAMENTO E TOPOGRAFIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,1349.0,1.0
SAUDE | PROGRAMA DE VIGILÂNCIA SANITÁRIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,1310.0,1.0
DESPORTO E LAZER | JOGOS DA PRIMAVERA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,1300.0,1.0
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DO DEPART. DE,LOCAL_EXACT_ACTIVE,1,1,372.0,1.0
