cnpj,expected_R$,observed_R$,difference_R$
11606789000145,66248.85,66248.85,0.0
11660639000110,6193.1,6193.1,0.0
11666105000362,154204.13,154204.13,0.0
11933619000175,1631.5,1631.5,0.0
12130958000186,1399.0,1399.0,0.0
12418191000195,3355.0,3355.0,0.0
12419021000125,525.0,525.0,0.0
12541620000117,14498.0,14498.0,0.0
12581380000184,3894.0,3894.0,0.0
12889035000102,70242.26,70242.26,0.0
13021017000177,26114.0,26114.0,0.0
13054040000168,205228.59,205228.59,-0.0
13055109000178,6800.0,6800.0,0.0
13062485000270,11427.9,11427.9,0.0
13229567000186,12989.1,12989.1,0.0
13255081000112,444909.85,444909.85,0.0
13338681000144,818.0,818.0,0.0
13460002000105,14.25,14.25,0.0
13779852000170,408.0,408.0,0.0
13852321000166,180.0,180.0,0.0
13903994000106,5360.0,5360.0,0.0
14157326000131,424.89,424.89,0.0
14168347000152,444303.59,444303.59,-0.0
14481040000107,21301.02,21301.02,0.0
14767899000187,793985.5,793985.5,0.0
15071878000195,342083.06,342083.06,0.0
15152448000106,2088.0,2088.0,0.0
15170395000148,130486.62,130486.62,0.0
15318347000154,10817.32,10817.32,0.0
15457786000148,9150.0,9150.0,0.0
15701365000110,17100.0,17100.0,0.0
15759650000192,31867.0,31867.0,0.0
16418251000120,150.0,150.0,0.0
16652789000103,4779.0,4779.0,0.0
16779255000304,46800.0,46800.0,0.0
16989002000276,2679.7,2679.7,0.0
17090276000100,34110.0,34110.0,0.0
17133532000108,264700.0,264700.0,0.0
17417852000181,3376.5,3376.5,0.0
17417928000179,61347.44,61347.44,-0.0
17500279000175,4037.6,4037.6,0.0
17605216000183,2580.0,2580.0,0.0
17695813000146,8776.66,8776.66,0.0
17695813000570,299631.28,299631.28,-0.0
17695813002602,400.0,400.0,0.0
17952607000174,934.68,934.68,0.0
17983017000109,11068.86,11068.86,0.0
18136904000104,37854.75,37854.75,0.0
18274923000105,7670.12,7670.12,0.0
18336780000100,1874.0,1874.0,0.0
18342297000139,15000.0,15000.0,0.0
18449927000179,1116.0,1116.0,0.0
18486182000118,960.0,960.0,0.0
18527195000198,2688.92,2688.92,0.0
18541026000102,219.4,219.4,0.0
18728542000140,1880196.43,1880196.43,0.0
18740207000168,33170.0,33170.0,0.0
18809845000864,1718.8,1718.8,0.0
18811871000150,841.5,841.5,0.0
18828722000102,1377.0,1377.0,0.0
18876112000176,6346.8,6346.8,0.0
19054118000120,38219.8,38219.8,0.0
19139482000193,1615.17,1615.17,0.0
19316524000114,194.0,194.0,0.0
19390998000297,91000.0,91000.0,0.0
19498639000177,18000.0,18000.0,0.0
19555146000121,5550.6,5550.6,0.0
19639940000315,9294.0,9294.0,0.0
19689111000185,49293.85,49293.85,0.0
19822275000139,12000.0,12000.0,0.0
20230791000668,85291.81,85291.81,-0.0
20275382000173,41417.74,41417.74,0.0
20657155000102,50498.21,50498.21,-0.0
20784313000195,9519.82,9519.82,0.0
20992564000165,7026.51,7026.51,0.0
20994694000137,7420.0,7420.0,0.0
21112395000194,8893.0,8893.0,0.0
21227039000116,2261.9,2261.9,0.0
21601494000130,1140.0,1140.0,0.0
21968331000190,59488.0,59488.0,0.0
22113603000132,1742.0,1742.0,0.0
22252006000199,5100.0,5100.0,0.0
22525517000137,71440.1,71440.1,-0.0
22653587000170,109.4,109.4,0.0
22673037000113,12198.0,12198.0,0.0
22778938000170,58996.0,58996.0,0.0
22795601000170,42000.0,42000.0,0.0
22850731000169,1656.76,1656.76,0.0
22862531000126,10762.12,10762.12,-0.0
23143410000197,1378.22,1378.22,0.0
23217514000107,2624.95,2624.95,0.0
23218942000146,2200.0,2200.0,0.0
23310852000261,9688.05,9688.05,-0.0
23457564000153,12871.67,12871.67,-0.0
23588621000133,2656.0,2656.0,0.0
23597822000105,3786.98,3786.98,0.0
23608114000114,691.9,691.9,0.0
23639923000193,26195.6,26195.6,0.0
23643693000136,92379.01,92379.01,0.0
23720752000122,21870.0,21870.0,0.0
23870217000158,149085.3,149085.3,0.0
23969712000119,17487.95,17487.95,0.0
24230368000104,32267.76,32267.76,0.0
24241038000114,3674.4,3674.4,0.0
24402903000167,3101.59,3101.59,0.0
24531333000105,13750.0,13750.0,0.0
24550559000153,1633.55,1633.55,0.0
24604095000110,175239.79,175239.79,0.0
24693328000280,59780.0,59780.0,0.0
24738613000199,5669.25,5669.25,0.0
24765538000155,393.5,393.5,0.0
24802687000309,27170.0,27170.0,0.0
24864422000173,1690.0,1690.0,0.0
25310339000115,4380.6,4380.6,0.0
25341162000114,6612.3,6612.3,0.0
25386019000149,31158.5,31158.5,0.0
25433520000119,2831.0,2831.0,0.0
26003402000133,203.5,203.5,0.0
26155703000182,1208.0,1208.0,0.0
26270786000150,15493.15,15493.15,0.0
26348306000127,4188.45,4188.45,0.0
26391065000107,108203.41,108203.41,0.0
26607553000109,326077.11,326077.11,0.0
26683024000186,8000.0,8000.0,0.0
26769011000124,2430.0,2430.0,0.0
26918777000123,46788.73,46788.73,0.0
26950671000107,386.7,386.7,0.0
26967184000157,4800.0,4800.0,0.0
26979673000129,14726.4,14726.4,0.0
26991097000135,91200.0,91200.0,0.0
26994285000117,1315860.88,1315860.88,0.0
27075106000100,10444.0,10444.0,0.0
27105456000172,125184.36,125184.36,0.0
27171625000172,18799.86,18799.86,-0.0
27226575000183,468.0,468.0,0.0
27298119000149,5382.31,5382.31,-0.0
27343163000123,38340.0,38340.0,0.0
27403752000150,10794.3,10794.3,0.0
27545675000172,800.0,800.0,0.0
28075541000106,3200.0,3200.0,0.0
28114183000195,15980.0,15980.0,0.0
28337943000123,9796.68,9796.68,0.0
28426904000100,239.0,239.0,0.0
28499301000120,9564.0,9564.0,0.0
