funcao_subfuncao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_subfuncao
LEGISLATIVA | AÇÃO LEGISLATIVA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,20,82,292543.6,0.3635704595764125
ADMINISTRAÇÃO | PLANEJAMENTO E ORÇAMENTO,LOCAL_EXACT_ACTIVE,12,21,404379.34,0.7530750599618233
ADMINISTRAÇÃO | PLANEJAMENTO E ORÇAMENTO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,7,13571.82,0.02527478075485032
ADMINISTRAÇÃO | PLANEJAMENTO E ORÇAMENTO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,37,68,119019.67,0.22165015928332646
ADMINISTRAÇÃO | TECNOLOGIA DA INFORMACAO,LOCAL_EXACT_ACTIVE,1,1,16122.0,0.03360701727528262
ADMINISTRAÇÃO | TECNOLOGIA DA INFORMACAO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,8,232029.9,0.4836765201390708
ADMINISTRAÇÃO | TECNOLOGIA DA INFORMACAO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,6,231569.34,0.4827164625856466
EDUCAÇÃO | ADMINISTRAÇÃO GERAL,LOCAL_EXACT_ACTIVE,8,12,82218.87,0.18155461065286208
EDUCAÇÃO | ADMINISTRAÇÃO GERAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,8,149729.84,0.3306314329583383
EDUCAÇÃO | ADMINISTRAÇÃO GERAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,33,43,220911.56,0.48781395638879954
SAUDE | VIGILÂNCIA EPIDEMIOLÓGICA,LOCAL_EXACT_ACTIVE,1,2,905.33,0.002156758741783928
SAUDE | VIGILÂNCIA EPIDEMIOLÓGICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,22,25,418858.82,0.997843241258216
SEGURANÇA PÚBLICA | DEFESA CIVIL,LOCAL_EXACT_ACTIVE,4,13,251867.0,0.9794035821159017
SEGURANÇA PÚBLICA | DEFESA CIVIL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,5296.65,0.020596417884098314
DESPORTO E LAZER | LAZER,LOCAL_EXACT_ACTIVE,2,9,179101.0,0.7974185333101812
DESPORTO E LAZER | LAZER,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,4,45500.0,0.20258146668981883
SEGURANÇA PÚBLICA | POLICIAMENTO,LOCAL_EXACT_ACTIVE,15,38,90268.71,0.4812050416423959
SEGURANÇA PÚBLICA | POLICIAMENTO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,1995.77,0.010639064034022915
SEGURANÇA PÚBLICA | POLICIAMENTO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,20,28,95324.39,0.5081558943235811
EDUCAÇÃO | EDUCAÇÃO DE JOVENS E ADULTOS,LOCAL_EXACT_ACTIVE,2,5,112533.41,0.6211605939888292
EDUCAÇÃO | EDUCAÇÃO DE JOVENS E ADULTOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,7,68632.96,0.3788394060111708
AGRICULTURA | EXTENSÃO RURAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,133568.25,1.0
HABITAÇÃO | HABITAÇÃO URBANA,LOCAL_EXACT_ACTIVE,2,5,102283.88,0.8026193841236327
HABITAÇÃO | HABITAÇÃO URBANA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,11,25153.71,0.1973806158763674
ASSISTÊNCIA SOCIAL | ASSISTÊNCIA À CRIANÇA E AO ADOLESCENTE,LOCAL_EXACT_ACTIVE,12,33,25677.39,0.30080307824990243
ASSISTÊNCIA SOCIAL | ASSISTÊNCIA À CRIANÇA E AO ADOLESCENTE,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,9,19963.01,0.2338607957870168
ASSISTÊNCIA SOCIAL | ASSISTÊNCIA À CRIANÇA E AO ADOLESCENTE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,18,29,39722.39,0.46533612596308066
ASSISTÊNCIA SOCIAL | ASSISTÊNCIA AO IDOSO,LOCAL_EXACT_ACTIVE,1,8,119.05,0.0014294431427433155
ASSISTÊNCIA SOCIAL | ASSISTÊNCIA AO IDOSO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,3,83165.13,0.9985705568572566
