cluster_id,items,items_total,items_accepted,wins_sao_borja,wins_rs_other,wins_other_uf,winner_value_sao_borja_R$,winner_value_rs_other_R$,winner_value_other_uf_R$,winner_value_total_R$
T01,7,1,0,0,0,0,0.0,0.0,0.0,0.0
T02,8,1,1,0,1,0,0.0,24024.0,0.0,24024.0
T03,18;25;41,3,3,0,3,0,0.0,88675.0,0.0,88675.0
T04,30,1,1,0,1,0,0.0,14580.0,0.0,14580.0
T05,35;36,2,2,0,0,2,0.0,0.0,90691.2,90691.2
T06,49,1,1,0,0,1,0.0,0.0,25441.2,25441.2
T07,78;79;80,3,3,0,2,1,0.0,13920.0,9640.0,23560.0
T08,81;82;83,3,3,0,3,0,0.0,38250.0,0.0,38250.0
T09,84;85;86,3,3,0,2,1,0.0,46800.0,24570.0,71370.0
