cnpj,nome_credor,rubrica,pago_R$,semantic_class
30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,93196.2,UNCLASSIFIED
26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,91200.0,BEM_CAPITAL_VEICULO
19390998000297,GAMBATTO H1 VEICULOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,91000.0,BEM_CAPITAL_VEICULO
51978129000100,ARPL DISTRIBUIDORA LTDA,MATERIAL DE CONSUMO,90376.26,MATERIAL_EDUCACIONAL_CONSUMO
33084691000299,ESSENCE DECOR LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,90363.0,EQUIPAMENTO_PERMANENTE_DIVERSO
03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",87816.1,MEDICAMENTOS_DISTRIBUICAO_GRATUITA
49333270000103,D C METZ COMERCIAL,EQUIPAMENTOS E MATERIAL PERMANENTE,84012.8,UNCLASSIFIED
41098601000166,MC FARMA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",84000.0,UNCLASSIFIED
51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,OBRAS E INSTALAÇÕES,83165.13,UNCLASSIFIED
10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,82609.52,UNCLASSIFIED
04210265000175,ESSENCIAL ASSESSORIA TRIBUTÁRIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,82107.92,UNCLASSIFIED
02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",75766.25,UNCLASSIFIED
07236167000103,TRI TELECOM LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,70320.62,UNCLASSIFIED
12889035000102,INOVAMED HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",70242.26,UNCLASSIFIED
92954106000142,VIACAO OURO E PRATA S/A,PASSAGENS E DESPESAS COM LOCOMOÇÃO,68047.2,UNCLASSIFIED
11606789000145,FALCAO EPI''S LTDA,MATERIAL DE CONSUMO,66248.85,UNCLASSIFIED
22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,MATERIAL DE CONSUMO,65425.1,UNCLASSIFIED
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",63493.47,UNCLASSIFIED
74913013000198,CHULIPA AVALIACOES S/S,SERVIÇOS DE CONSULTORIA,63000.0,UNCLASSIFIED
46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,EQUIPAMENTOS E MATERIAL PERMANENTE,61687.96,UNCLASSIFIED
17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,EQUIPAMENTOS E MATERIAL PERMANENTE,61347.44,UNCLASSIFIED
08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,EQUIPAMENTOS E MATERIAL PERMANENTE,59860.0,UNCLASSIFIED
24693328000280,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE,MATERIAL DE CONSUMO,59780.0,UNCLASSIFIED
90180605000102,GENTE SEGURADORA S.A,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,59289.21,UNCLASSIFIED
44449147000139,DM DISTRIBUIDORA DE DESCARTAVEIS LTDA,MATERIAL DE CONSUMO,58077.32,UNCLASSIFIED
10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,EQUIPAMENTOS E MATERIAL PERMANENTE,56088.0,UNCLASSIFIED
73856593000166,PRATI DONADUZZI & CIA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",53863.4,UNCLASSIFIED
07319261000118,ELIETE BEATRIZ HAUPENTHAL & CIA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,53239.5,UNCLASSIFIED
50625983000120,MATEUS G DROPA SERVICOS MEDICOS LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,50985.9,UNCLASSIFIED
20657155000102,ILG COMERCIAL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",50498.21,UNCLASSIFIED
63155462000106,RESIDENCIAL CASA VIVARE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,48000.0,UNCLASSIFIED
16779255000304,ELETRO CENTRO COMERCIO DE PEÇAS E ELETRO,EQUIPAMENTOS E MATERIAL PERMANENTE,46800.0,UNCLASSIFIED
47820174000164,A MARINHO MOREIRA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,46680.0,UNCLASSIFIED
51560442000123,DUFILTER DISTRIBUIDORA DE FILTROS E LUBR,MATERIAL DE CONSUMO,46155.7,UNCLASSIFIED
42470027000198,TBR CONSTRUCOES LTDA,OBRAS E INSTALAÇÕES,45036.89,UNCLASSIFIED
88733811000142,FAMURS - FEDERAÇÃO DAS ASSOC. DE MUNICIP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,44560.47,UNCLASSIFIED
48566347000122,TELES SOLUCOES EMPRESARIAIS LTDA,MATERIAL DE CONSUMO,42559.0,UNCLASSIFIED
