id_credor,cnpj,nome_credor,pago_R$,classificacao,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
17144,88489786000101,MUNICIPIO DE SAO BORJA,347169.7,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
54413,15071878000195,CLEUDIONIR GLOGER DOS SANTOS,342083.06,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
66976,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,336976.46,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
138372,36419348000165,SOLV CONSTRUTORA E SOLUÇÕES LTDA,331410.44,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
65227,26607553000109,EB BARBOSA LTDA,326077.11,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
17100,95592077000104,PLANALTO TRANSPORTES LTDA,313928.1,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0
60967,17695813000570,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS,299631.28,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
57624,02520619000152,TRIBUNAL REGIONAL DO TRABALHO DA 4ª REGI,296751.68,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
69652,29882173000162,R G A TRANSPORTES SAO BORJA LTDA,282619.82,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
70544,30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,271427.06,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8705,IJUI,0
56207,17133532000108,GABRIEL SACILOTO PORTEELLA ME,264700.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
153361,53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,257950.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8729,LAJEADO,0
55727,02267697000197,LUIS CARLOS SEGATTO & CIA LTDA,245775.11,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,1
127414,02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,244278.52,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8831,ROSARIO DO SUL,0
145423,05489410000161,PROCURADORIA-GERAL FEDERAL,228657.72,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
2593,87581195000199,ASILO SAO VICENTE DE PAULA,224052.11,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
54706,06316591000197,ASSOCIACAO DOS COLABORADORES DE PROTECAO,224000.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
13185,04309482000117,M. KIRST LTDA,220793.9,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
120250,87958666000135,SECRETARIA DO ESPORTE E LAZER,208324.17,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
51666,13054040000168,NICOMEDES AJALA BORGES LTDA,205228.59,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
91932,05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,195401.22,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
100829,26461699045524,CONAB - COMPANHIA NACIONAL DE ABASTECIME,194412.04,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
154758,56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,187200.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8599,CAXIAS DO SUL,0
43298,05090524000134,COSTA MACHADO & RODRIGUES LTDA,184305.87,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8951,URUGUAIANA,0
148013,24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,175239.79,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8945,TUCUNDUVA,0
127290,01778749000127,COMERCIAL UNYLUX LTDA,167925.4,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
127342,02264781000157,CISMISSOES,165040.54,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8419,ENTRE IJUIS,0
149295,00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,164400.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8081,CHAPECO,0
145901,08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,163023.5,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8927,TAQUARA,0
72178,00331788006583,AIR LIQUIDE BRASIL LTDA,163023.04,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0
