item,descricao,quantidade,unidade,valor_unit_ref_R$,familia,valor_estimado_item_R$,source_class,source_url,status
24,Interruptor simples com caixa,340,un,4.82,COMANDO_CONEXAO,1638.80,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
25,"Cabo flexível 16mm 0,6/1kV verde ATOX",2500,m,17.00,CONDUTORES,42500.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
26,Fio rígido 6mm vermelho,1000,m,6.76,CONDUTORES,6760.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
27,Fio rígido 6mm preto,1000,m,6.76,CONDUTORES,6760.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
28,Espelho 1 keystone p/ caixa eletroduto galvanizado,220,un,9.17,INFRA_INSTALACAO,2017.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
29,Espelho 2 keystone p/ caixa eletroduto galvanizado 3/4,220,un,20.64,INFRA_INSTALACAO,4540.80,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
30,"Cabo PP 2x2,5mm 1kV",3600,m,5.51,CONDUTORES,19836.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
31,Abraçadeira PVC 3/4 para eletroduto,700,un,0.66,FERRAGENS_FIXACAO,462.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
32,Cabo flexível 6mm preto ATOX,2200,m,4.25,CONDUTORES,9350.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
33,Cabo flexível 10mm azul ATOX,1400,m,5.75,CONDUTORES,8050.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
34,Curva 90 PVC preto rosca eletroduto 3/4,780,un,1.03,INFRA_INSTALACAO,803.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
35,Cabo PP 4x10mm 1kV,2115,m,36.65,CONDUTORES,77514.75,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
36,Cabo PP 4x10mm 1kV,705,m,36.65,CONDUTORES,25838.25,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
