year,cod_conta,conta,value_R$,share_current_revenue_pct,source,nature
2023,1.9.0.0.00.0.0,1.9.0.0.00.0.0 - Outras Receitas Correntes,1332768.03,0.38940052415353776,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.1.0.0.00.0.0,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",53597301.71,14.481721499739118,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.2.0.0.00.0.0,1.2.0.0.00.0.0 - Contribuições,14189801.87,3.8340131361403444,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.3.0.0.00.0.0,1.3.0.0.00.0.0 - Receita Patrimonial,18469920.77,4.990479747667639,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.6.0.0.00.0.0,1.6.0.0.00.0.0 - Receita de Serviços,392055.11,0.10593131994385963,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.7.0.0.00.0.0,1.7.0.0.00.0.0 - Transferências Correntes,279066232.55,75.40229322806579,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2024,1.9.0.0.00.0.0,1.9.0.0.00.0.0 - Outras Receitas Correntes,4387798.39,1.1855610684432658,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.1.0.0.00.0.0,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",57992988.88,14.65944347747723,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.2.0.0.00.0.0,1.2.0.0.00.0.0 - Contribuições,12626340.16,3.1916809855398647,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.3.0.0.00.0.0,1.3.0.0.00.0.0 - Receita Patrimonial,27970936.16,7.070481545589964,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.6.0.0.00.0.0,1.6.0.0.00.0.0 - Receita de Serviços,413810.69,0.1046028931701244,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.7.0.0.00.0.0,1.7.0.0.00.0.0 - Transferências Correntes,295354667.57,74.65962935641492,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
2025,1.9.0.0.00.0.0,1.9.0.0.00.0.0 - Outras Receitas Correntes,1242828.79,0.3141617418078904,Tesouro Nacional — SICONFI/DCA Anexo I-C,observed value; calculated share
