period,emit_setor,int_rs,ouf,ext,demanda_rs,n_ncm,part_rs,dependencia_nt,taxonomy_snapshot,additivity_rule,natureza
2025-01,ARROZ,201215032.0,14073830.0,45607407.0,260896269.0,4,0.7712453411896051,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,ARTEFATOS DOMÉSTICOS E FERRAMENTAS,386652885.0,590144469.0,109852647.0,1086650001.0,74,0.3558209953933456,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,AVES,447518323.0,234158111.0,0.0,681676434.0,17,0.6564966906278588,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,BIODIESEL,739751809.0,14669581.0,0.0,754421390.0,2,0.9805551894545301,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,BOVINOS,711068062.0,300759974.0,0.0,1011828036.0,6,0.7027558406179605,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,CALÇADOS E ARTEFATOS,345481025.0,164803884.0,10827708.0,521112617.0,14,0.6629680681863053,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,CERVEJA E CHOPP,224183621.0,154981109.0,4366447.0,383531177.0,2,0.5845251558258587,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,CHÁ E MATE,34383425.0,34338824.0,0.0,68722249.0,3,0.5003245018945757,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,CIMENTO,251373667.0,128092298.0,69612.0,379535577.0,8,0.6623191137625551,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,COMBUSTÍVEIS E DERIVADOS,136491474.0,8530964.0,0.0,145022438.0,4,0.9411748684020882,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2025-01,COSMÉTICOS,72890212.0,645440248.0,2158109.0,720488569.0,17,0.10116775634784568,ALTA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
