market,sinac_count,sinac_share_pct,simei_count,simei_share_pct,simei_sinac_ratio_pct,status
BENS_ESSENCIAIS,688,9.59,398,8.15,57.85,PRIMARY_CONSERVATIVE_POM_CROSSWALK
SAUDE_HIGIENE,95,1.32,66,1.35,69.47,PRIMARY_CONSERVATIVE_POM_CROSSWALK
BENS_NAO_ESSENCIAIS,768,10.70,456,9.34,59.38,PRIMARY_CONSERVATIVE_POM_CROSSWALK
SERVICOS,947,13.20,728,14.91,76.87,PRIMARY_CONSERVATIVE_POM_CROSSWALK
ALIMENTACAO_FORA_LAR,498,6.94,378,7.74,75.90,PRIMARY_CONSERVATIVE_POM_CROSSWALK
SERVICOS_E_ALIMENTACAO_FORA_LAR,1445,20.14,1106,22.65,76.54,EDITORIAL_COMBINED_CADERNO
TOTAL_ESCOPOS_POM_NAO_EXAUSTIVO,2996,41.75,2026,41.49,67.62,SUM_OF_DISJOINT_PRIMARY_RECUTS_NOT_TOTAL_ECONOMY
