periodo,fo_valor_R$,fo_variacao_mes_pct,fo_variacao_ano_pct,fo_variacao_12m_pct,rs_valor_R$,rs_variacao_mes_pct,rs_variacao_ano_pct,rs_variacao_12m_pct,gap_fo_vs_rs_pct,natureza_valores,natureza_gap,fonte,validacao,limitacao
2026-01,275.41,-1.14,-1.14,-0.38,289.83,-0.48,-0.48,-1.54,-4.98,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. janeiro/2026, publicado 03/02/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-02,273.97,-0.52,-1.66,-1.99,288.33,-0.52,-0.99,-2.83,-4.98,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. fevereiro/2026, publicado 03/03/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-03,274.55,0.21,-1.45,-3.22,287.85,-0.17,-1.16,-2.84,-4.62,DADO_OBSERVADO,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. março/2026; Portal do Estado/Ascom Sefaz 02/04/2026","Valor estadual 287,85 corrigido por auditoria cruzada; valor 289,85 invalidado","COREDE Fronteira Oeste, não São Borja"
2026-04,281.40,2.49,1.01,-1.47,296.26,2.92,1.73,-0.96,-5.02,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. abril/2026, publicado 04/05/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-05,285.58,1.49,2.51,1.10,300.54,1.44,3.20,1.30,-4.98,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. maio/2026, publicado 01/06/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-06,287.31,0.60,3.13,2.38,301.22,0.23,3.44,1.40,-4.62,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. junho/2026, publicado 01/07/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-07,282.74,-1.59,1.49,1.14,296.84,-1.45,1.93,1.39,-4.75,DADO_OBSERVADO_TRANSCRITO_PDF_OFICIAL,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. julho/2026, publicado 01/08/2026","Tabela PCA-RE por COREDE extraída do PDF oficial; coerência mensal conferida","COREDE Fronteira Oeste, não São Borja"
2026-08,284.19,0.51,2.01,3.22,298.61,0.60,2.54,3.49,-4.83,DADO_OBSERVADO,DADO_CALCULADO,"Receita Estadual RS — Boletim Preços Dinâmicos ref. agosto/2026, publicado 01/09/2026","Tabela oficial já validada no delta 42.96","COREDE Fronteira Oeste, não São Borja"
