market,submarket,regime,position_date,cnae,count,rule_type,cnae_rule
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SIMEI,12/09/2026,4759899,6,exact,4759899
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4754701,14,exact,4754701
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4754702,3,exact,4754702
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4754703,1,exact,4754703
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4755501,6,exact,4755501
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4755502,30,exact,4755502
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4755503,40,exact,4755503
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4759801,1,exact,4759801
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,SINAC,12/09/2026,4759899,13,exact,4759899
BENS_NAO_ESSENCIAIS,papelaria,SIMEI,12/09/2026,4761003,4,exact,4761003
BENS_NAO_ESSENCIAIS,papelaria,SINAC,12/09/2026,4761003,19,exact,4761003
BENS_NAO_ESSENCIAIS,petshop,SIMEI,12/09/2026,4789004,21,exact,4789004
BENS_NAO_ESSENCIAIS,petshop,SINAC,12/09/2026,4789004,38,exact,4789004
BENS_NAO_ESSENCIAIS,vestuario,SIMEI,12/09/2026,4781400,323,exact,4781400
BENS_NAO_ESSENCIAIS,vestuario,SINAC,12/09/2026,4781400,468,exact,4781400
SAUDE_HIGIENE,artigos_medicos_ortopedicos,SIMEI,12/09/2026,4773300,4,exact,4773300
SAUDE_HIGIENE,artigos_medicos_ortopedicos,SINAC,12/09/2026,4773300,7,exact,4773300
SAUDE_HIGIENE,cosmeticos_perfumaria_higiene,SIMEI,12/09/2026,4772500,61,exact,4772500
SAUDE_HIGIENE,cosmeticos_perfumaria_higiene,SINAC,12/09/2026,4772500,71,exact,4772500
SAUDE_HIGIENE,farmacias_humanas,SINAC,12/09/2026,4771701,5,exact,4771701
SAUDE_HIGIENE,farmacias_humanas,SINAC,12/09/2026,4771702,2,exact,4771702
SAUDE_HIGIENE,oticas,SIMEI,12/09/2026,4774100,1,exact,4774100
SAUDE_HIGIENE,oticas,SINAC,12/09/2026,4774100,10,exact,4774100
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9511800,32,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9512600,13,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9521500,10,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9529101,2,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9529102,5,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9529104,4,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9529105,16,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SIMEI,12/09/2026,9529199,2,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9511800,39,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9512600,14,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9521500,14,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529101,2,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529102,7,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529104,4,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529105,17,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529106,1,prefix,95
SERVICOS,assistencias_tecnicas_reparos,SINAC,12/09/2026,9529199,2,prefix,95
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8630502,3,prefix,863
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8630503,38,prefix,863
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8630504,20,prefix,863
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8630599,1,prefix,863
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8640201,1,prefix,864
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8640202,4,prefix,864
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8640207,1,prefix,864
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8650001,1,prefix,865
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8650003,14,prefix,865
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8650004,12,prefix,865
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8650005,3,prefix,865
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8650006,3,prefix,865
SERVICOS,clinicas_consultorios,SINAC,12/09/2026,8690901,5,prefix,869
SERVICOS,hotelaria_alojamento,SIMEI,12/09/2026,5590699,6,prefix,55
SERVICOS,hotelaria_alojamento,SINAC,12/09/2026,5510801,14,prefix,55
SERVICOS,hotelaria_alojamento,SINAC,12/09/2026,5510802,1,prefix,55
SERVICOS,hotelaria_alojamento,SINAC,12/09/2026,5510803,3,prefix,55
SERVICOS,hotelaria_alojamento,SINAC,12/09/2026,5590603,1,prefix,55
SERVICOS,hotelaria_alojamento,SINAC,12/09/2026,5590699,8,prefix,55
SERVICOS,lavanderias,SIMEI,12/09/2026,9601701,6,prefix,96017
SERVICOS,lavanderias,SIMEI,12/09/2026,9601703,1,prefix,96017
SERVICOS,lavanderias,SINAC,12/09/2026,9601701,10,prefix,96017
SERVICOS,lavanderias,SINAC,12/09/2026,9601703,1,prefix,96017
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520001,108,prefix,4520
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520002,41,prefix,4520
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520003,17,prefix,4520
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520005,61,prefix,4520
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520006,18,prefix,4520
SERVICOS,oficinas_automotivas,SIMEI,12/09/2026,4520007,16,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520001,140,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520002,47,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520003,20,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520004,1,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520005,66,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520006,26,prefix,4520
SERVICOS,oficinas_automotivas,SINAC,12/09/2026,4520007,18,prefix,4520
SERVICOS,saloes_beleza_barbearias,SIMEI,12/09/2026,9602501,276,prefix,96025
SERVICOS,saloes_beleza_barbearias,SIMEI,12/09/2026,9602502,94,prefix,96025
SERVICOS,saloes_beleza_barbearias,SINAC,12/09/2026,9602501,287,prefix,96025
SERVICOS,saloes_beleza_barbearias,SINAC,12/09/2026,9602502,98,prefix,96025
