_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,rotulo
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Receitas Brutas Realizadas,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Outras Deduções da Receita,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.00.0.0,4318002,Outras Deduções da Receita,"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.0.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.0.0,4318002,Outras Deduções da Receita,"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.1.0,4318002,Receitas Brutas Realizadas,1.1.2.8.01.1.0 - Taxa de Fiscalização de Vigilância Sanitária,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.9.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.9.0,4318002,Outras Deduções da Receita,"1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.2.0.0.00.0.0 - Contribuições,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.2.1.0.00.0.0 - Contribuições Sociais,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios",2019,Padrão
