_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,instituicao,populacao,rotulo,uf,valor
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.4.0,4318002,Receitas Brutas Realizadas,1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3319738.1
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.4.0,4318002,Outras Deduções da Receita,1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,8378.98
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.0.0,4318002,Receitas Brutas Realizadas,"1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,8261760.04
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.0.0,4318002,Outras Deduções da Receita,"1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,26563.72
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.3.0,4318002,Receitas Brutas Realizadas,1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,8261760.04
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.3.0,4318002,Outras Deduções da Receita,1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,26563.72
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.0.00.0.0,4318002,Receitas Brutas Realizadas,1.1.2.0.00.0.0 - Taxas,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,5049608.79
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.0.00.0.0,4318002,Outras Deduções da Receita,1.1.2.0.00.0.0 - Taxas,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,108546.01
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.00.0.0,4318002,Receitas Brutas Realizadas,1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4015590.85
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.00.0.0,4318002,Outras Deduções da Receita,1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,108470.93
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Receitas Brutas Realizadas,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4015590.85
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Outras Deduções da Receita,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,108470.93
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1034017.94
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.00.0.0,4318002,Outras Deduções da Receita,"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,75.08
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.0.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1034017.94
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.0.0,4318002,Outras Deduções da Receita,"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,75.08
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.1.0,4318002,Receitas Brutas Realizadas,1.1.2.8.01.1.0 - Taxa de Fiscalização de Vigilância Sanitária,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,87093.8
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.9.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,946924.14
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.01.9.0,4318002,Outras Deduções da Receita,"1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,75.08
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.2.0.0.00.0.0 - Contribuições,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7148602.76
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.2.1.0.00.0.0 - Contribuições Sociais,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4546766.43
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4546766.43
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.01.0.0,4318002,Receitas Brutas Realizadas,1.2.1.8.01.0.0 - Contribuição do Servidor Civil para o Plano de Seguridade Social - CPSSS - Específico de EST/DF/MUN,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4495761.82
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.01.1.0,4318002,Receitas Brutas Realizadas,1.2.1.8.01.1.0 - CPSSS do Servidor Civil Ativo,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4436017.92
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.01.2.0,4318002,Receitas Brutas Realizadas,1.2.1.8.01.2.0 - CPSSS do Servidor Civil Inativo,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,58446.98
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.01.3.0,4318002,Receitas Brutas Realizadas,1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1296.92
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.02.0.0,4318002,Receitas Brutas Realizadas,1.2.1.8.02.0.0 - CPSSS - Parcelamentos - Específico de EST/DF/MUN,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,51004.61
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.1.8.02.1.0,4318002,Receitas Brutas Realizadas,1.2.1.8.02.1.0 - CPSSS - Parcelamentos - do Servidor Civil Ativo,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,51004.61
