year,function,stage,value_R$,source,nature
2024,17 - Saneamento,Despesas Empenhadas,22218.3,SICONFI DCA Anexo I-E,observed
2024,18 - Gestão Ambiental,Despesas Empenhadas,82909.67,SICONFI DCA Anexo I-E,observed
2024,20 - Agricultura,Despesas Empenhadas,181262.97,SICONFI DCA Anexo I-E,observed
2024,23 - Comércio e Serviços,Despesas Empenhadas,572966.08,SICONFI DCA Anexo I-E,observed
2024,26 - Transporte,Despesas Empenhadas,4985183.47,SICONFI DCA Anexo I-E,observed
2024,27 - Desporto e Lazer,Despesas Empenhadas,395339.43,SICONFI DCA Anexo I-E,observed
2024,28 - Encargos Especiais,Despesas Empenhadas,19702679.28,SICONFI DCA Anexo I-E,observed
2024,01 - Legislativa,Despesas Liquidadas,8998534.91,SICONFI DCA Anexo I-E,observed
2024,04 - Administração,Despesas Liquidadas,34249299.98,SICONFI DCA Anexo I-E,observed
2024,06 - Segurança Pública,Despesas Liquidadas,1750558.64,SICONFI DCA Anexo I-E,observed
2024,08 - Assistência Social,Despesas Liquidadas,10384353.88,SICONFI DCA Anexo I-E,observed
2024,09 - Previdência Social,Despesas Liquidadas,43523882.94,SICONFI DCA Anexo I-E,observed
2024,10 - Saúde,Despesas Liquidadas,103205182.04,SICONFI DCA Anexo I-E,observed
2024,11 - Trabalho,Despesas Liquidadas,146827.17,SICONFI DCA Anexo I-E,observed
2024,12 - Educação,Despesas Liquidadas,73280720.65,SICONFI DCA Anexo I-E,observed
2024,13 - Cultura,Despesas Liquidadas,1707628.22,SICONFI DCA Anexo I-E,observed
2024,14 - Direitos da Cidadania,Despesas Liquidadas,17495.59,SICONFI DCA Anexo I-E,observed
2024,15 - Urbanismo,Despesas Liquidadas,26356269.57,SICONFI DCA Anexo I-E,observed
2024,16 - Habitação,Despesas Liquidadas,41129.18,SICONFI DCA Anexo I-E,observed
2024,17 - Saneamento,Despesas Liquidadas,22202.8,SICONFI DCA Anexo I-E,observed
2024,18 - Gestão Ambiental,Despesas Liquidadas,26023.69,SICONFI DCA Anexo I-E,observed
2024,20 - Agricultura,Despesas Liquidadas,178514.79,SICONFI DCA Anexo I-E,observed
2024,23 - Comércio e Serviços,Despesas Liquidadas,534027.32,SICONFI DCA Anexo I-E,observed
2024,26 - Transporte,Despesas Liquidadas,770536.38,SICONFI DCA Anexo I-E,observed
2024,27 - Desporto e Lazer,Despesas Liquidadas,163914.85,SICONFI DCA Anexo I-E,observed
2024,28 - Encargos Especiais,Despesas Liquidadas,19702679.28,SICONFI DCA Anexo I-E,observed
2024,01 - Legislativa,Despesas Pagas,8998534.91,SICONFI DCA Anexo I-E,observed
2024,04 - Administração,Despesas Pagas,33893204.83,SICONFI DCA Anexo I-E,observed
2024,06 - Segurança Pública,Despesas Pagas,1740697.17,SICONFI DCA Anexo I-E,observed
2024,08 - Assistência Social,Despesas Pagas,10294970.87,SICONFI DCA Anexo I-E,observed
2024,09 - Previdência Social,Despesas Pagas,43523882.94,SICONFI DCA Anexo I-E,observed
2024,10 - Saúde,Despesas Pagas,102645810.51,SICONFI DCA Anexo I-E,observed
2024,11 - Trabalho,Despesas Pagas,146827.17,SICONFI DCA Anexo I-E,observed
2024,12 - Educação,Despesas Pagas,72135649.9,SICONFI DCA Anexo I-E,observed
2024,13 - Cultura,Despesas Pagas,1692207.52,SICONFI DCA Anexo I-E,observed
2024,14 - Direitos da Cidadania,Despesas Pagas,17495.59,SICONFI DCA Anexo I-E,observed
2024,15 - Urbanismo,Despesas Pagas,26267384.78,SICONFI DCA Anexo I-E,observed
2024,16 - Habitação,Despesas Pagas,41129.18,SICONFI DCA Anexo I-E,observed
2024,17 - Saneamento,Despesas Pagas,22202.8,SICONFI DCA Anexo I-E,observed
2024,18 - Gestão Ambiental,Despesas Pagas,26023.69,SICONFI DCA Anexo I-E,observed
2024,20 - Agricultura,Despesas Pagas,178514.79,SICONFI DCA Anexo I-E,observed
2024,23 - Comércio e Serviços,Despesas Pagas,534027.32,SICONFI DCA Anexo I-E,observed
2024,26 - Transporte,Despesas Pagas,770536.38,SICONFI DCA Anexo I-E,observed
2024,27 - Desporto e Lazer,Despesas Pagas,163914.85,SICONFI DCA Anexo I-E,observed
2024,28 - Encargos Especiais,Despesas Pagas,19191835.4,SICONFI DCA Anexo I-E,observed
2025,01 - Legislativa,Despesas Empenhadas,10046709.34,SICONFI DCA Anexo I-E,observed
2025,04 - Administração,Despesas Empenhadas,41590169.84,SICONFI DCA Anexo I-E,observed
2025,06 - Segurança Pública,Despesas Empenhadas,1065304.59,SICONFI DCA Anexo I-E,observed
2025,08 - Assistência Social,Despesas Empenhadas,13055801.61,SICONFI DCA Anexo I-E,observed
2025,09 - Previdência Social,Despesas Empenhadas,47393550.43,SICONFI DCA Anexo I-E,observed
2025,10 - Saúde,Despesas Empenhadas,119333046.2,SICONFI DCA Anexo I-E,observed
2025,12 - Educação,Despesas Empenhadas,79333187.38,SICONFI DCA Anexo I-E,observed
2025,13 - Cultura,Despesas Empenhadas,4041018.58,SICONFI DCA Anexo I-E,observed
2025,14 - Direitos da Cidadania,Despesas Empenhadas,259.99,SICONFI DCA Anexo I-E,observed
2025,15 - Urbanismo,Despesas Empenhadas,19463464.92,SICONFI DCA Anexo I-E,observed
2025,16 - Habitação,Despesas Empenhadas,6819.2,SICONFI DCA Anexo I-E,observed
2025,17 - Saneamento,Despesas Empenhadas,23139.51,SICONFI DCA Anexo I-E,observed
2025,18 - Gestão Ambiental,Despesas Empenhadas,369009.52,SICONFI DCA Anexo I-E,observed
2025,20 - Agricultura,Despesas Empenhadas,228008.46,SICONFI DCA Anexo I-E,observed
2025,23 - Comércio e Serviços,Despesas Empenhadas,1270894.44,SICONFI DCA Anexo I-E,observed
2025,26 - Transporte,Despesas Empenhadas,6355710.15,SICONFI DCA Anexo I-E,observed
2025,27 - Desporto e Lazer,Despesas Empenhadas,1640102.26,SICONFI DCA Anexo I-E,observed
2025,28 - Encargos Especiais,Despesas Empenhadas,24653199.67,SICONFI DCA Anexo I-E,observed
2025,01 - Legislativa,Despesas Liquidadas,9498302.17,SICONFI DCA Anexo I-E,observed
2025,04 - Administração,Despesas Liquidadas,37976328.25,SICONFI DCA Anexo I-E,observed
2025,06 - Segurança Pública,Despesas Liquidadas,1038510.48,SICONFI DCA Anexo I-E,observed
2025,08 - Assistência Social,Despesas Liquidadas,12365355.21,SICONFI DCA Anexo I-E,observed
2025,09 - Previdência Social,Despesas Liquidadas,47393550.43,SICONFI DCA Anexo I-E,observed
2025,10 - Saúde,Despesas Liquidadas,114605804.54,SICONFI DCA Anexo I-E,observed
2025,12 - Educação,Despesas Liquidadas,77696933.24,SICONFI DCA Anexo I-E,observed
2025,13 - Cultura,Despesas Liquidadas,2708842.82,SICONFI DCA Anexo I-E,observed
2025,14 - Direitos da Cidadania,Despesas Liquidadas,259.99,SICONFI DCA Anexo I-E,observed
2025,15 - Urbanismo,Despesas Liquidadas,16319440.28,SICONFI DCA Anexo I-E,observed
2025,16 - Habitação,Despesas Liquidadas,6819.2,SICONFI DCA Anexo I-E,observed
2025,17 - Saneamento,Despesas Liquidadas,21389.51,SICONFI DCA Anexo I-E,observed
2025,18 - Gestão Ambiental,Despesas Liquidadas,369009.52,SICONFI DCA Anexo I-E,observed
2025,20 - Agricultura,Despesas Liquidadas,228008.46,SICONFI DCA Anexo I-E,observed
2025,23 - Comércio e Serviços,Despesas Liquidadas,1101084.92,SICONFI DCA Anexo I-E,observed
2025,26 - Transporte,Despesas Liquidadas,1664673.82,SICONFI DCA Anexo I-E,observed
2025,27 - Desporto e Lazer,Despesas Liquidadas,444063.91,SICONFI DCA Anexo I-E,observed
2025,28 - Encargos Especiais,Despesas Liquidadas,24653199.67,SICONFI DCA Anexo I-E,observed
2025,01 - Legislativa,Despesas Pagas,9498302.17,SICONFI DCA Anexo I-E,observed
2025,04 - Administração,Despesas Pagas,37458060.25,SICONFI DCA Anexo I-E,observed
2025,06 - Segurança Pública,Despesas Pagas,1036587.39,SICONFI DCA Anexo I-E,observed
2025,08 - Assistência Social,Despesas Pagas,12248842.58,SICONFI DCA Anexo I-E,observed
2025,09 - Previdência Social,Despesas Pagas,47393550.43,SICONFI DCA Anexo I-E,observed
2025,10 - Saúde,Despesas Pagas,113877735.35,SICONFI DCA Anexo I-E,observed
2025,12 - Educação,Despesas Pagas,77511917.18,SICONFI DCA Anexo I-E,observed
2025,13 - Cultura,Despesas Pagas,2545101.44,SICONFI DCA Anexo I-E,observed
2025,14 - Direitos da Cidadania,Despesas Pagas,259.99,SICONFI DCA Anexo I-E,observed
2025,15 - Urbanismo,Despesas Pagas,15981247.3,SICONFI DCA Anexo I-E,observed
2025,16 - Habitação,Despesas Pagas,6819.2,SICONFI DCA Anexo I-E,observed
2025,17 - Saneamento,Despesas Pagas,21389.51,SICONFI DCA Anexo I-E,observed
2025,18 - Gestão Ambiental,Despesas Pagas,369009.52,SICONFI DCA Anexo I-E,observed
2025,20 - Agricultura,Despesas Pagas,228008.46,SICONFI DCA Anexo I-E,observed
2025,23 - Comércio e Serviços,Despesas Pagas,1100871.82,SICONFI DCA Anexo I-E,observed
2025,26 - Transporte,Despesas Pagas,1644031.46,SICONFI DCA Anexo I-E,observed
2025,27 - Desporto e Lazer,Despesas Pagas,440099.91,SICONFI DCA Anexo I-E,observed
2025,28 - Encargos Especiais,Despesas Pagas,24178216.43,SICONFI DCA Anexo I-E,observed
