regime,position_date,page,cnae,count
SINAC,12/09/2026,2,4639701,2
SINAC,12/09/2026,2,4639702,1
SINAC,12/09/2026,2,4644301,1
SINAC,12/09/2026,2,4645101,1
SINAC,12/09/2026,2,4645103,1
SINAC,12/09/2026,2,4647802,2
SINAC,12/09/2026,2,4649402,1
SINAC,12/09/2026,2,4649408,1
SINAC,12/09/2026,2,4649499,2
SINAC,12/09/2026,2,4661300,1
SINAC,12/09/2026,2,4664800,1
SINAC,12/09/2026,2,4665600,1
SINAC,12/09/2026,2,4682600,1
SINAC,12/09/2026,2,4687703,2
SINAC,12/09/2026,2,4689399,1
SINAC,12/09/2026,2,4691500,1
SINAC,12/09/2026,2,4692300,1
SINAC,12/09/2026,2,4711302,7
SINAC,12/09/2026,2,4712100,343
SINAC,12/09/2026,2,4713002,8
SINAC,12/09/2026,2,4721102,42
SINAC,12/09/2026,2,4721103,2
SINAC,12/09/2026,2,4721104,9
SINAC,12/09/2026,2,4722901,29
SINAC,12/09/2026,2,4722902,5
SINAC,12/09/2026,2,4723700,187
SINAC,12/09/2026,2,4724500,23
SINAC,12/09/2026,2,4729601,17
SINAC,12/09/2026,2,4729602,1
SINAC,12/09/2026,2,4729699,49
SINAC,12/09/2026,2,4732600,1
SINAC,12/09/2026,2,4741500,4
SINAC,12/09/2026,2,4742300,12
SINAC,12/09/2026,2,4743100,10
SINAC,12/09/2026,2,4744001,43
SINAC,12/09/2026,2,4744002,7
SINAC,12/09/2026,2,4744003,1
SINAC,12/09/2026,2,4744004,2
SINAC,12/09/2026,2,4744005,9
SINAC,12/09/2026,2,4744006,1
SINAC,12/09/2026,2,4744099,13
SINAC,12/09/2026,3,4751201,38
SINAC,12/09/2026,3,4752100,24
SINAC,12/09/2026,3,4753900,19
SINAC,12/09/2026,3,4754701,14
SINAC,12/09/2026,3,4754702,3
SINAC,12/09/2026,3,4754703,1
SINAC,12/09/2026,3,4755501,6
SINAC,12/09/2026,3,4755502,30
SINAC,12/09/2026,3,4755503,40
SINAC,12/09/2026,3,4756300,3
SINAC,12/09/2026,3,4757100,17
SINAC,12/09/2026,3,4759801,1
SINAC,12/09/2026,3,4759899,13
SINAC,12/09/2026,3,4761001,3
SINAC,12/09/2026,3,4761002,8
SINAC,12/09/2026,3,4761003,19
SINAC,12/09/2026,3,4762800,2
SINAC,12/09/2026,3,4763601,14
SINAC,12/09/2026,3,4763602,8
SINAC,12/09/2026,3,4763603,7
SINAC,12/09/2026,3,4763604,4
SINAC,12/09/2026,3,4771701,5
SINAC,12/09/2026,3,4771702,2
SINAC,12/09/2026,3,4771704,16
SINAC,12/09/2026,3,4772500,71
SINAC,12/09/2026,3,4773300,7
SINAC,12/09/2026,3,4774100,10
SINAC,12/09/2026,3,4781400,468
SINAC,12/09/2026,3,4782201,14
SINAC,12/09/2026,3,4783101,25
SINAC,12/09/2026,3,4783102,1
SINAC,12/09/2026,3,4784900,18
SINAC,12/09/2026,3,4785701,3
SINAC,12/09/2026,3,4785799,12
SINAC,12/09/2026,3,4789001,43
