instituicao,empenho,funcao,subfuncao,programa,acao,rubrica,recurso,data,empenhado_R$,anulado_R$,liquidado_R$,pago_R$,eligibility
PREFEITURA MUNICIPAL DE SÃO BORJA,13181 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-07-13,3058601.84,0,2902456.34,2902456.34,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13182 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-07-13,1587396.78,0,1587396.78,827510.60,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13183 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-07-13,1049871.16,0,521612.44,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13184 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para pro,2026-07-13,308000.00,0,138420.18,138420.18,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,13185 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-07-13,87950.40,0,87950.40,87950.40,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13186 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-07-13,250000.00,0,125000.00,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13187 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutençã,2026-07-13,45180.20,0,22590.10,22590.10,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,13201 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-07-13,478462.10,168462.10,187813.40,187813.40,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,14234 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,ASPS,2026-07-29,31605.00,0,10535.00,10535.00,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,14534 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-08-03,900001.00,0,900001.00,900001.00,EXCLUIR
