rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
104,30544566000145,LINDOMAR CRUZ LOPES 95654461087,79037.0,0.0010971343454177895,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
105,02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,75766.25,0.0010517321646635195,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8533,BARAO DE COTEGIPE,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",9
106,10439851000512,CASSOL COMERCIO E TRANSPORTE DE GAS LTDA,75537.27,0.0010485536302756535,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,MATERIAL DE CONSUMO,16
107,22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,71440.1,0.0009916796860974153,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8195,LONTRAS,0,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO,17
108,07236167000103,TRI TELECOM LTDA,70320.62,0.0009761398761728443,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2
109,12889035000102,INOVAMED HOSPITALAR LTDA,70242.26,0.000975052139450715,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",24
110,92954106000142,VIACAO OURO E PRATA S/A,68047.2,0.0009445819075814288,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,PASSAGENS E DESPESAS COM LOCOMOÇÃO,4
111,11606789000145,FALCAO EPI''S LTDA,66248.85,0.0009196185163838623,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8851,SANTIAGO,0,MATERIAL DE CONSUMO,18
112,07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,63493.47,0.0008813703284126934,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8957,VERA CRUZ,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",10
113,74913013000198,CHULIPA AVALIACOES S/S,63000.0,0.0008745203355557616,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,SERVIÇOS DE CONSULTORIA,2
114,46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,61687.96,0.000856307547284927,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,1154,PAULO BENTO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,7
115,17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,61347.44,0.0008515806954648723,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,AM,0255,MANAUS,0,EQUIPAMENTOS E MATERIAL PERMANENTE,9
116,06223400000142,SYSTRONIC TECNOLOGIA LTDA,60292.0,0.0008369298424020314,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO,10
117,08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,59860.0,0.000830933131529649,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,0978,DOUTOR RICARDO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,11
118,24693328000280,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE,59780.0,0.0008298226295162449,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8055,BRUSQUE,0,MATERIAL DE CONSUMO,1
119,21968331000190,VERA ALICE CHAGAS-ME,59488.0,0.0008257692971673198,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
120,90180605000102,GENTE SEGURADORA S.A,59289.21,0.0008230098384767622,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
121,22778938000170,CRISTIANE MARTINS PEREIRA E CIA LTDA,58996.0,0.0008189397097848843,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,28
122,44449147000139,DM DISTRIBUIDORA DE DESCARTAVEIS LTDA,58077.32,0.0008061872599139579,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8589,CANOAS,0,MATERIAL DE CONSUMO,37
123,40100470000141,BRUNO ERTELE FURQUM,57744.0,0.0008015603532751095,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,25
124,10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,56088.0,0.0007785729615976438,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,6059,SAO JOSE DO INHACORA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,3
125,73856593000166,PRATI DONADUZZI & CIA LTDA,53863.4,0.0007476926768599081,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7927,TOLEDO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",14
126,07319261000118,ELIETE BEATRIZ HAUPENTHAL & CIA LTDA,53239.5,0.0007390321492828726,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,6059,SAO JOSE DO INHACORA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,8
127,34539958000177,PAULO RICARDO DOZZA,52118.92,0.0007234770699556174,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,5
128,50625983000120,MATEUS G DROPA SERVICOS MEDICOS LTDA,50985.9,0.0007077493075652779,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,5
129,09647647000184,CRISTIANE BORGES DA SILVA,50687.08,0.00070360130491971,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO,25
130,20657155000102,ILG COMERCIAL LTDA,50498.21,0.0007009795484788146,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7751,PATO BRANCO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",17
131,34996803000160,RICARDO DOS SANTOS 84480378049,50000.0,0.0006940637583775886,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
132,19689111000185,4 PATAS PET LTDA,49293.85,0.0006842614959180218,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
133,63155462000106,RESIDENCIAL CASA VIVARE,48000.0,0.000666301208042485,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8433,CIDREIRA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
134,45767888000120,MECÂNICA E TORNEARIA SRS LTDA,47810.0,0.0006636637657606502,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,15
135,16779255000304,ELETRO CENTRO COMERCIO DE PEÇAS E ELETRO,46800.0,0.000649643677841423,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,ES,5699,SERRA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
136,26918777000123,LAURENCE RODRIGUES LOPES E VARGAS LTDA,46788.73,0.0006494872358702846,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,45
137,47820174000164,A MARINHO MOREIRA,46680.0,0.0006479779248213167,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
138,30713195000188,TERABYTE SOLUÇOES EM TI LTDA,46365.04,0.0006436058783945446,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA | SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,5
139,51560442000123,DUFILTER DISTRIBUIDORA DE FILTROS E LUBR,46155.7,0.0006406999722509693,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8599,CAXIAS DO SUL,0,MATERIAL DE CONSUMO,11
140,42470027000198,TBR CONSTRUCOES LTDA,45036.89,0.0006251694627807607,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8851,SANTIAGO,0,OBRAS E INSTALAÇÕES,1
141,88733811000142,FAMURS - FEDERAÇÃO DAS ASSOC. DE MUNICIP,44560.47,0.0006185561456654357,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12
142,48566347000122,TELES SOLUCOES EMPRESARIAIS LTDA,42559.0,0.0005907731898558359,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,ES,5699,SERRA,0,MATERIAL DE CONSUMO,1
143,22795601000170,MORABEZA CULTURAL LTDA,42000.0,0.0005830135570371744,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,SERVIÇOS DE CONSULTORIA,2
144,52692151000151,SAN ANGEL CONSTRUTORA LTDA,41907.74,0.0005817328705902161,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,0,OBRAS E INSTALAÇÕES,2
145,42188256000114,ODIMED COMERCIO VAREJISTA DE PRODUTOS DE,41863.95,0.000581125009550629,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0,MATERIAL DE CONSUMO,31
146,92885888000105,PAUSE & PERIN - ADVOGADOS ASSOCIADOS,41484.67,0.00057586011950508,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA | SERVIÇOS DE CONSULTORIA,3
147,20275382000173,DALBERTO CONSULTORIA E ASSESSORIA LTDA,41417.74,0.0005749310457581157,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8807,PUTINGA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3
148,92702067000196,BANRISUL - BANCO DO ESTADO DO RS,40350.94,0.0005601225014093715,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8801,PORTO ALEGRE,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,29
149,33910508000186,ALESSANDRO ANDRADE BENITES,40280.0,0.0005591377637489853,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12
150,02823782000194,GRUPO DE APOIO A BRIGADA MILITAR DE SAO,40000.0,0.0005552510067020709,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
151,90217225000197,AGRIMETAL INDUSTRIA E COM DE MAQUINAS LT,39500.0,0.0005483103691182949,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8705,IJUI,0,OBRAS E INSTALAÇÕES,1
152,89704522000188,ASSOCIACAO DOS MUNICIPIOS DA FRONTEIRA O,39200.0,0.0005441459865680294,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
153,33393503000123,J BORELLA & BORELLA LTDA,39014.0,0.0005415640693868648,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7701,MEDIANEIRA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,8
154,41032927000190,RODNEI ROBERTO DE LIMA CAETANO,38997.32,0.0005413325297170701,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
155,61645182000142,ROGERIO MOLLMANN,38865.0,0.0005394957593868996,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
156,27343163000123,RD INFORMATICA LTDA,38340.0,0.0005322080899239349,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SP,6969,RIBEIRAO PRETO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,3
157,06244192000168,MSM CREATIVE CONFECCOES LTDA,38256.0,0.0005310420628098605,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8449,BROCHIER,0,MATERIAL DE CONSUMO,3
158,19054118000120,JULIANO UGGERI FERREIRA,38219.8,0.0005305395606487952,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO,10
159,18136904000104,GUILHERME XAVIER PIVA LTDA,37854.75,0.0005254722011488805,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8591,CARAZINHO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,17
160,34015868000187,NARA REGINA CAVALHEIRO DOS SANTOS,37105.0,0.0005150647150920085,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8
161,90073974000198,MARKEL COMERCIO DE BATERIAS LTDA,36621.0,0.0005083461779109134,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,27
162,36591545000167,CLINICA VANESSA  TEICHMANN - ATENDIMENTO,35653.9,0.0004949215966963741,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9
163,87519237000161,TELEVISAO URUGUAIANA LTDA.,35000.0,0.000485844630864312,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8951,URUGUAIANA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
164,17090276000100,EDUARDO MARTINS GOMES 01802881050,34110.0,0.0004734902959651909,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
165,08070693000109,COSTA PLANO DE ASSISTENCIA FAMILIAR E EM,34000.0,0.00047196335569676023,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8929,TAQUARI,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
166,18740207000168,JOHAN E STEFANI LTDA - ME,33170.0,0.00046044189730769225,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8633,ENCANTADO,0,"MATERIAL DE CONSUMO | MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",2
167,30483455000176,INSTITUTO DE ASSISTENCIA A SAUDE DOS SER,33092.14,0.00045936110122314665,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8
168,24230368000104,ORTOMOBIL INDÚSTRIA E COMÉRCIO LTDA,32267.76,0.0004479176556005203,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,6043,SAO PEDRO DA SERRA,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",12
169,53800800000153,NOBRE HORSE LTDA,32216.0,0.00044719916079784787,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8939,TRES DE MAIO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,5
170,37952262000166,SC COMERCIO DE PNEUS LTDA,32200.0,0.00044697706039516704,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8165,ITAPIRANGA,0,MATERIAL DE CONSUMO,2
171,15759650000192,TAIUR SCHUMACHER - ME,31867.0,0.0004423545957643723,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8679,GIRUA,0,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO,11
172,25386019000149,FARMODONTO PRODUTOS HOSPITALARES LTDA -,31158.5,0.00043251971230816186,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,MATERIAL DE CONSUMO,5
173,00390052000111,CONTRANSIN - INDUSTRIA E COMERCIO LTDA,30690.0,0.0004260163348921639,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,MG,5385,TRES CORACOES,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
174,89511083000197,RODA PNEUS E ACESSORIOS LTDA.,30262.0,0.0004200751491204517,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
175,01952684000194,G3 COMERCIAL LTDA,28986.77,0.00040237333058853466,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8175,JARAGUA DO SUL,0,"MATERIAL DE CONSUMO | MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",21
176,36757380000150,MEDSANTA COMERCIO DE MEDICAMENTOS E MATE,28226.82,0.0003918242555249537,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,MATERIAL DE CONSUMO,2
177,32398233000180,A. S. GARCIA COMERCIO DE PNEUS LTDA,27999.0,0.00038866182341628204,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3
178,34883104000103,RAPIDA INDUSTRIA DE PRODUTOS PARA SAUDE,27880.0,0.0003870099516713434,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0,MATERIAL DE CONSUMO,4
179,09031569000199,CITTA INFORMATICA LTDA,27871.48,0.00038689168320691584,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8737,MARAU,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,1
180,49648233000194,SSZ DISTRIBUIDORA DE MEDICAMENTOS LTDA,27733.4,0.00038497495673178034,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7493,CASCAVEL,0,MATERIAL DE CONSUMO,2
181,58951274000146,RAFAEL L. SCHRAMM,27681.79,0.000384258544120383,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,0994,MACAMBARA,0,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO,11
182,42572060000129,PORTO ATACADISTA LTDA,27267.06,0.0003785015628701442,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8081,CHAPECO,0,MATERIAL DE CONSUMO,44
183,24802687000309,"HS COMERCIO, LOCACAO E MANUTENCAO DE EQU",27170.0,0.00037715424630238164,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,ES,5625,CARIACICA,0,EQUIPAMENTOS E MATERIAL PERMANENTE,4
184,87296026014833,BENOIT ELETRODOMÉSTICOS LTDA.,26757.7,0.00037143099655080006,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO,7
185,04998667000186,EQUIPAR GASTRO ACESSÓRIOS LTDA,26700.0,0.0003706300469736323,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
186,34028316002661,EMPRESA BRASILEIRA DE CORREIOS E TELEGRA,26573.87,0.00036887920173674896,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8801,PORTO ALEGRE,3,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
187,23639923000193,CONS. INTERM. DE DESENV. DO PAMPA,26195.6,0.00036362833177911916,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8531,BAGE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
188,13021017000177,DPM EDUCAÇÃO LTDA,26114.0,0.00036249561972544696,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,38
189,31228836000171,ORTOBRAS INDUSTRIA E COMERCIO DE ORTOPED,26094.85,0.00036222979330598833,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8485,BARAO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",7
190,11417674000455,ACTE-ASSOCIAÇÃO COMUNIDADE TERAPEUTICA E,25996.0,0.00036085762925567585,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8773,OSORIO,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3
191,51365151000184,VIGA PRE MOLDADOS LTDA,25983.11,0.0003606786996187661,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8705,IJUI,0,OBRAS E INSTALAÇÕES,2
192,04939481000156,FUNMISSÕES - FUND. MUNIC. MISSÕES,25830.0,0.00035855333757786226,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8601,CERRO LARGO,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
193,65120204000101,65.120.204 LEONARDO GUILET MACHADO,25200.0,0.00034980813422230467,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3
194,94516671000153,CIRURGICA SANTA CRUZ COM. PROD. HOSP. LT,25048.04,0.0003476987356478435,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8839,SANTA CRUZ DO SUL,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6
195,06636589000103,DAGOBERTO DOS SANTOS HOLKEM,25009.0,0.00034715681066530224,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
196,57775539000130,GEO MARKT COMUNICACAO ESTRATEGICA LTDA,24980.0,0.00034675425368544327,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7505,CIANORTE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
197,38303545000140,ANGELICA LOPES SAUERESSIG,24567.15,0.00034102336923251954,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO,13
198,89989255000132,ASSOCIACAO DOS MUNICIPIOS DAS MISSOES,23930.0,0.0003321789147595139,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8601,CERRO LARGO,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
199,47701463000144,SILVIO GREI BAZ MACHADO,23876.79,0.0003314402921078485,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,13
200,33159931000196,PORTO UNIAO COMERCIO E REPRESENTACAO LTD,23531.0,0.00032664028596766074,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8175,JARAGUA DO SUL,0,MATERIAL DE CONSUMO,11
201,00472805000308,TRACADO CONSTRUCOES E SERVICOS LTDA,23492.0,0.00032609891623612623,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8785,PASSO FUNDO,0,MATERIAL DE CONSUMO,5
202,98102924000101,DELTASUL UTILIDADES LTDA,22600.0,0.00031371681878667005,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8839,SANTA CRUZ DO SUL,1,EQUIPAMENTOS E MATERIAL PERMANENTE,1
203,36138462000117,ALESSANDRO ORTIZ BARBIERI,22560.0,0.00031316156777996796,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
204,08955458000106,DOLORES ANI HECK OLIVEIRA,22320.0,0.00030983006173975554,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE,2
205,11273797000117,R. S. SCHMIDT  CIA LTDA,22056.0,0.00030616540509552186,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OBRAS E INSTALAÇÕES | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,17
206,23720752000122,JARDIM DISTRIBUIDORA DE COSMETICOS LTDA,21870.0,0.00030358348791435726,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8533,BARAO DE COTEGIPE,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",1
207,14481040000107,GRÁFICA GRGRAF EIRELI,21301.02,0.00029568531996952365,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
208,00703157000183,CONFEDERAÇÃO NACIONAL DE MUNICIPIOS - CN,21282.0,0.0002954212981158368,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1
