rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
24,05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,464950.0,0.0064540988891531965,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8785,PASSO FUNDO,0,MATERIAL DE CONSUMO,8
25,08940091000157,ROTA SMART MONITORAMENTO LTDA,445889.87,0.0061895199798938875,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,41
26,13255081000112,MARA ELIANE DA SILVA MACHADO,444909.85,0.006175916052604183,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,14
27,14168347000152,BALBE & NORO LTDA,444303.59,0.006167500390721104,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8857,SANTO ANTONIO DAS MISSOES,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",5
28,00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,411896.4,0.005717647268923972,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7535,CURITIBA,0,MATERIAL DE CONSUMO,1
29,07756651000155,BRASIL TECPAR SERVIÇOS DE TELECOMUNICAÇÕ,369620.34,0.005130801647064043,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8841,SANTA MARIA,1,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,50
30,31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,367464.98,0.005100882501818908,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8785,PASSO FUNDO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",21
31,15071878000195,CLEUDIONIR GLOGER DOS SANTOS,342083.06,0.004748549086018123,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,"EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO | MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA | OBRAS E INSTALAÇÕES",69
32,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,336976.46,0.004677662966247502,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,"EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO | MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",35
33,36419348000165,SOLV CONSTRUTORA E SOLUÇÕES LTDA,331410.44,0.004600399511039407,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OBRAS E INSTALAÇÕES,7
34,26607553000109,EB BARBOSA LTDA,326077.11,0.004526366089750047,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6
35,94282845000160,TRANSPORTE INTEGRAÇÃO URBANA LTDA,319628.8,0.004436855324274371,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,28
36,95592077000104,PLANALTO TRANSPORTES LTDA,313928.1,0.004357722338926709,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6
37,17695813000570,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS,299631.28,0.004159264246485752,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,MATERIAL DE CONSUMO,35
38,91572792000205,ASSOCIACAO ESPIRITA DR FERREIRA DE MORAE,298153.84,0.004138755495302205,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,3,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
39,29882173000162,R G A TRANSPORTES SAO BORJA LTDA,282619.82,0.003923123489223952,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9
40,30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,270931.06,0.003760868595296479,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8705,IJUI,0,MATERIAL DE CONSUMO,51
41,17133532000108,GABRIEL SACILOTO PORTEELLA ME,264700.0,0.0036743735368509538,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,21
